縣市代碼,縣市名稱,鄉鎮市區,學校代碼,學校名稱,班級數7年級,班級數8年級,班級數9年級,學生數7年級男,學生數7年級女,學生數8年級男,學生數8年級女,學生數9年級男,學生數9年級女,上學年男畢業生,上學年女畢業生,男專任教師,女專任教師,男職員,女職員
01,新北市,板橋區,010301,國立華僑中學,1,1,1,5,4,5,7,6,8,10,13,0,0,0,0
01,新北市,淡水區,011301,私立淡江高中附設國中部,7,7,7,141,126,159,127,151,131,160,128,0,0,0,0
01,新北市,新店區,011302,私立康橋實驗高中附設國中部,11,11,11,150,170,151,158,165,159,157,139,0,0,0,0
01,新北市,三重區,011306,私立金陵女中附設國中部,8,9,8,0,303,0,348,0,319,0,355,0,0,0,0
01,新北市,土城區,011307,私立裕德實驗高中附設國中部,6,6,6,88,82,84,90,63,64,76,67,0,0,0,0
01,新北市,中和區,011309,私立南山高中附設國中部,22,22,22,521,464,523,451,529,427,566,405,0,0,0,0
01,新北市,新莊區,011310,私立恆毅高中附設國中部,8,9,10,243,115,241,121,302,103,258,123,0,0,0,0
01,新北市,八里區,011311,私立聖心女中附設國中部,5,5,5,0,191,0,182,0,201,0,216,0,0,0,0
01,新北市,汐止區,011312,私立崇義高中附設國中部,0,1,1,0,0,5,0,1,1,3,0,0,0,0,0
01,新北市,土城區,011314,私立福瑞斯特高中附設國中部,1,0,0,14,11,0,0,0,0,0,0,0,0,0,0
01,新北市,三重區,011316,私立格致高中附設國中部,6,6,7,133,94,131,85,170,102,159,82,0,0,0,0
01,新北市,林口區,011317,私立醒吾高中附設國中部,1,1,1,4,9,5,14,6,10,12,7,0,0,0,0
01,新北市,蘆洲區,011318,私立徐匯高中附設國中部,3,3,3,97,0,114,0,113,0,117,0,0,0,0,0
01,新北市,新店區,011322,私立崇光高中附設國中部,8,8,8,99,208,84,232,85,241,10,232,0,0,0,0
01,新北市,板橋區,011323,私立光仁高中附設國中部,8,8,8,159,107,134,121,136,109,150,129,0,0,0,0
01,新北市,中和區,011324,私立竹林高中附設國中部,9,10,10,187,132,195,159,219,141,166,126,0,0,0,0
01,新北市,新店區,011325,私立及人高中附設國中部,2,1,2,29,17,18,8,35,11,42,15,0,0,0,0
01,新北市,三峽區,011329,私立辭修高中附設國中部,5,7,7,100,59,142,89,168,103,221,119,0,0,0,0
01,新北市,林口區,011330,私立林口康橋高中附設國中部,9,9,6,137,127,144,119,131,119,125,132,0,0,0,0
01,新北市,瑞芳區,011399,私立時雨高中附設國中部,6,6,7,183,109,197,100,202,112,216,144,0,0,0,0
01,新北市,板橋區,014302,市立海山高中附設國中部,29,29,29,424,421,480,440,468,434,422,403,0,0,0,0
01,新北市,三重區,014311,市立三重高中附設國中部,8,8,8,73,94,80,88,80,83,79,79,0,0,0,0
01,新北市,永和區,014315,市立永平高中附設國中部,10,11,11,113,142,138,144,136,146,154,120,0,0,0,0
01,新北市,樹林區,014322,市立樹林高中附設國中部,11,10,13,155,134,165,125,167,160,153,148,0,0,0,0
01,新北市,三峽區,014326,市立明德高中附設國中部,10,10,12,134,92,130,86,155,104,108,104,0,0,0,0
01,新北市,汐止區,014332,市立秀峰高中附設國中部,13,14,13,177,173,218,167,221,159,182,190,0,0,0,0
01,新北市,金山區,014338,市立金山高中附設國中部,4,5,5,44,37,44,57,61,56,65,63,0,0,0,0
01,新北市,新店區,014343,市立安康高中附設國中部,8,8,9,102,91,108,82,107,107,119,95,0,0,0,0
01,新北市,雙溪區,014347,市立雙溪高中附設國中部,2,5,3,14,15,30,19,34,25,34,30,0,0,0,0
01,新北市,石碇區,014348,市立石碇高中附設國中部,1,2,2,8,11,14,11,15,10,25,15,0,0,0,0
01,新北市,新莊區,014353,市立丹鳳高中附設國中部,23,23,23,367,340,367,352,378,356,370,339,0,0,0,0
01,新北市,土城區,014356,市立清水高中附設國中部,10,12,15,133,107,146,149,197,161,186,178,0,0,0,0
